"","Auth_keywords"
"663","Rice beer, Jou Sujen, Thap, Apong, Jonga, Haaj, Assam"
"664","Ecosystem services; Leaf damage; Neighbouring crop diversity; Non-target insects; Transgenic cotton"
"665","Cleaner production of agriculture; Control of non-point sources pollution; Eco-agriculture; Eco-farm; Sustainable development"
"666","Android studio; Java; XML"
"667","Fragmentation; Musella lasiocarpa; Phylogeography; Population differentiation; The Qinghai-Tibet Plateau"
"668","Biogeography; Cytonuclear discordance; Large genome size; Melanthiaceae; Parideae; Paris; Plastid phylogenomics; Radiative diversification; Trilliaceae"
"669","Economic loss; Giant African snail; Invasive species; Sikkim; Traditional agriculture"
"670","18S rDNA; Aging; Community structure; Fungus; K326; Redried tobacco leaf"
"671","evolutionary history; gene flow; genetic differentiation; genetic structure; Juglans sigillata; Southwest China"
"672","454 sequencing; bacteria; cropping regimes"
"673","Eco-distribution mapping; In situ and ex situ conservation; Maxent model; Myrica esculenta"
"674","Coniferous plantation; Forest gap; Regeneration; Species diversity"
"675","Farmer’S crop variety; Gujarat; Nutrients; Traditional cultivar; Wheat"
"676","Application progress; Geometridae; Identification; Sex pheromone"
"677","Agriculture; Nano carriers; Nanofertilizers; Nanomaterials; Nanoparticles"
"678","Chickpea; Diazotroph; Himalaya; Mountain agriculture; Phosphate solubilization; Psychrotolerant"
"679","Adaptation; Biodiversity; Climate change; GHNP; Perception"
"680","Consumer-oriented breeding; Consumer-oriented germplasm conservation; Culinary; Farmer-breeder-chef-consumer nexus; Genetic diversity; Heritage seedbank; Local food systems; Seed-savers; Stress tolerance"
"681","Agrobiodiversity; Crop diversity; Shifting cultivation; Upland tribes"
"682","Convolutional neural network; Deep learning; Faster RCNN; Machine vision; Rosa roxbunghii; Target recognition"
"683","Bag-of-words; Content-based; Indian cuisine; Machine Learning; NLP; Recommendation System; Web scraping"
"684","Agricultural heritage systems; agritourism; GIAHS; heritage tourism; reflection"
"685","GEAC; Genome editing; India; Regulation"
"686","3D e-Sandbox; Ecological sustainability of rural resources; Traditional farming landscape; Villagers’ memories"
"687","Community garden; Edible landscape; Food security; Urban horticulture"
"688","Agricultural multifunctionality; Ecosystem service; Farmland loss; Functional diversity; Sustainable agriculture; Urban sprawl"
"689","Environmental stress; Neutraceuticals; Pharmacognosy; Phytochemicals"
"690","Economic value; Genomic resources; Nutrition; Orphan crop; Rice bean"
"691","DNDC; Ecosystem service; Preference; Smallholder; Trade-off"
"692","Agrobiodiversity; Agroecological landscapes; Globally Important Agricultural Heritage Systems (GIAHS); Landraces; Seed exchange networks; Socio-technical systems; UNESCO cultural heritage sites"
"693","Crop yields; Evergreen revolution; Farmers income; Sustainable agriculture strategy"
"694","Analytic hierarchy process (AHP); China; Evaluation model; Mountain-type agritourism (MTA); Xita grape valley"
"695","Advertising; Marketing; Selling"
"696","Big data; GIS system; Small-scale farmers; Supervision of agricultural chemical inputs; Visualization"
"697","agrobiodiversity; evolutionary economics; innovation; intellectual property; sustainable agriculture"
"698","agribusiness; China; special issue"
"699","Animal welfare; Asia; Benefit; Human health; Livestock Animals; Profit"
"700","Climate change; Crop system; Fertiliser; Sustainable; Upland cropping; Water-use efficiency"
"701","Centers of origin; Crop plant diversity; East Asia; Literature review"
"702","Agro-Taobao villages; e-commerce agribusiness; migration"
"703","Efficiency performance; Environmental uncertainty; Myanmar; Rice supply chain"
"704","Attitude; Livelihood improvement and Homestead vegetable cultivation; Rural women’s opinion"
"705","Adoption; Farm Service centres (FSC); Khyber pakhtunkhwa (Pakistan); Logistic regression; Wheat seed technology"
"706","Chayote squash; Nepal; Ricebean; Smallholder; Terrace agriculture; Terrace riser; Terrace wall; Wall-climbing crop; Wall-descending crop; Yam"
"707","Ecosystem services; Elevation; Precipitation; RMSE; Taihang Mountains; Trade-off; Vegetation cover fraction"
"708","Forest plantation; Hill slope; Land degradation; Land use; Soil quality"
"709","Ecological industrialization; Industrial ecologicalization; New paradigm of eco-agriculture; Rural revitalization; Transition of agricultural system to ecologicalization"
"710","Agronomic traits. Arrange them alphabetically; Biological diversity; Chronological periods; Genetic erosion; PCA biplots; Post-domestication era; Yield and yield components"
"711","Beliefs; Consumer behavior; Identity expressiveness; Organic food; Subjective norms; Theory of planned behavior"
"712","Agriculture; Development mode; Evaluation index system; Function spatial differentiation; Spatial distribution law; System clustering analysis"
"713","Agriculture; Bibliometric analysis; Biodiversity; Ecosystem service"
"714","CSLE; Model; Review; RUSLE; Soil degradation; Soil redistribution; Universal soil loss equation; Water erosion"
"715","Altitudinal gradients; Essential oil; Himalaya; Mature leaves; Perilla frutescens"
"716","Agrobiodiversity; Distribution maps; Eastern Uttar Pradesh; Food security; Lablab purpureus; Legumes; Morphological traits; Varietal dataset"
"717","Breeder seed; Climate change; Maintenance breeding; Participatory policies; Plant breeding; Pre-breeding; Varietal age; Varietal replacement rates"
"718","Biodiversity; CiteSpace; Hotspots; Traditional knowledge; Visual analysis"
"719","Far-eastern Himalayas; Farm performance; Mountain agriculture; Sustainability assessment; Sustainability space; Transdisciplinary approach"
"720","groundwater depletion; groundwater markets; irrigation water use efficiency; Pakistan; technical efficiency; wheat farming"
"721","Agricultural heritages; Agricultural multi-function; Globally Important Agricultural Heritage Systems (GIAHS); Longji Terraces; Nationally Important Agricultural Heritage Systems (NIAHS); Terraced landscape"
"722","Crop improvement; Food security; Psophocarpus tetragonolobus; Underutilised legume; Winged bean"
"723","Eastern Himalaya; Insect diversity; Pollination management"
"724","crop physiology; halophyte; saline; sodic"
"725","High temperature and humidity; Pre-harvest seed deterioration; RNA-Seq; Soybean"
"726","Agriculture supply chain; Big data; Blockchain; Data analytics; Food supply chain; Supply chain resources; Supply chain visibility; Sustainability; Sustainable performance"
"727","Adoption; Agricultural technologies; Diffusions; Donors; Interventions; Nepal"
"728","Adaptation; Climate vulnerability; Contingency plans; Food security; Indian agriculture; Preparedness; South Asia; UNFCCC"
"729","Agriculture green development; Food security; Interdisciplinary innovations; Resource use efficiency; Sustainable development; Sustainable intensification; Whole industry chain"
"730","Biodiversity; Farmers’ varieties; Plant diversity; Rice farming; Traditional homegardens; Wild diversity"
"731","Agricultural production; Evaluation index system; Green production"
"732","China; Deviation; Impoverished mountainous Area; Intention and behavior; Land transfer; Logistic-ISM model"
"733","Arsenic; Cadmium; Food safety; Rice; Translocation; Uptake"
"734","Consumption expenditure; Dietary diversity; Multi-level model; Nepal"
"735","Biogeographical zones; Himachal Pradesh; Himalaya; Vulnerability assessment"
"736","Flavonoids; Glucosinolates; Kaempferol biosynthetic pathway; Leafy vegetables; Untargeted metabolomics"
"737","Biological control; Disease resistance gene; Endophytic bacteria; Growth promotion; Tobacco powdery mildew"
"738","Traditional agricultural system, intensified agricultural system, upland, lowland, methane"
"739","Adaptive capacity; Climate-change hazards; Perception about climate change; Small-scale farming; Villages’ exposure; Vulnerability index; Weighing method"
"740","Brown manuring; Rice-mustard system; Soil carbon pools; Summer mungbean; Sustainable yield index; Water productivity"
"741","Enhancing farmer's income; Improved Varieties"
"742","biotechnology; developing countries; economic development; industry studies"
"743","Crop diversity; Cropping systems; Legumes; Pre-crop effect; Sustainable agriculture"
"744","Banana; National Horticulture Mission; Technological changes; Tissue-cultured plants"
"745","Cover crops; Enzyme activity; First order dynamic equation; Organic carbon mineralization"
"746","Integrated farming system; jhumia; Northeast India; Shifting cultivation; Water harvesting"
"747","Carbon footprint; China; Crop production; Cropland; Nitrogen footprint; Spatial and temporal patterns"
"748","Canopy microclimate; Chocolate spot disease; Intercropping; N levels; Yield"
"749","China; Ecology; Farming; Friendship; Network formation"
"750","Adaptation strategies; China; Farmers; Livelihood assets; Livelihood risks"
"751","Ecological civilization; Food security; Rural vitalization; Structure-function perspective; Supply-demand perspective; Sustainable land use; Urban-rural integrated development"
"752","Conduction paths; Industrial linkage; Natural gas; Nuclear power; Policy basis; SVAR model"
"753","Adaptation; Climate change; Info-Crop model; Terminal heat stress; Wheat"
"754","Agri-food knowledge; Community food security; Food literacy; Gender; High school students; Nepal"
"755","Agrobiodiversity; Indigenous community; Northeast India; Rubber plantation; Shifting cultivation landscape"
"756","China; Land consolidation; Rural decline; Rural development; Rural revitalization; Sustainable development"
"757","Agroecosystems; Ecosystem services; Forests; Human-modified landscapes; Indicator species; Traditional management practices"
"758","Clonal seed orchard design; Florescence; Fruit fly optimization algorithm; Genetic distance; Pollen"
"759","biomass production; germination metabolism; lipid peroxidation; osmolytes; Seed drying; α-amylase"
"760","Boserup; Environmental risk; Induced intensification; Panel data; Socioecological systems; South Asia; Systems analysis"
"761","Agrobiodiversity; conservation methods; future smart crop; neglected and underutilized species"
"762","Food security; Northwest China; Population growth; Virtual water; Water footprint"
"763","Dominant species; Nitrogen deposition; Seed production; Seedling growth; Semi-arid grassland"
"764","Network analysis; Nitrogen cycling; Smallholder-farms; Sustainability; Whole-farm model"
"765","Accessibility; Apparency; Cultural indicators; Ethnobotany; Himalayas; Medicinal plants"
"766","Black gram; Growth improvement; H2O2; Plasma activated water; Seed treatment"
"767","Agriculture development; Central Himalayas; Gaps and constraints; Legislation; Nepal; Plans and policies"
"768","biological control; intercrop; natural enemies; parasitoids; Phthorimaea operculella (Zeller); potato tuber moth"
"769","Growth; Interspecific competition; Maize/legumes intercropping; Niche; Yield"
"770","Climate change; Jhum; Land use; RothC; Rubber; Tea garden"
"771","Emergy evaluation; Environmental pollution; Integrated farming systems; Non-grain production; Sustainability; Sustainable agriculture"
"772","Collective spaces; Feminist political ecology; Feminization of agriculture; Integrated pest management; Migration"
"773","Farmers’ knowledge; Landrace diversity; Rice; Sustainable development"
"774","Conservation; Ethnozoology; Sikkim; Traditional medicine; Zootherapy"
"775","Certification; Nepal; Risk aversion; Small-scale farmers; Standards"
"776","Chengdu; China; Government intervention; Land transfer; Rural revitalisation; Social capital"
"777","Carbon management index; Carbon sequestration; Cropping system; Organic carbon pool; System productivity"
"778","Agricultural; Economic; Environmental; Intention; Social sustainable entrepreneurship; Sustainability values; Theory of planned behavior; Triple bottom line"
"779","Adoption; Multivariate probit; Pakistan; Sustainable intensification practices; Synergies"
"780","Cultural uses; Landrace diversity; Tartary buckwheat (Fagopyrum tataricum); Tradition knowledge"
"781","Actors; Coalition magnet; Food sovereignty; Ideas; Nepal"
"782","Ecological Agriculture; Ecosystem Services; Knowledge Visualization; Scientometric Analysis"
